Phase,Mean_Atomic_Radius,Atomic_Size_Diff,Avg_Tm,Std_Dev_Tm,H_mix,Std_Dev_H_mix,S_mix,EN,Std_Dev_EN,VEC,Std_Dev_VEC,Mean_Bulk_Mod,Std_Dev_Bulk_Mod
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8095756521,-0.4833254983,0.4831762575,-0.182444796,0.5928641827,-0.3361242837,0.5782986501,-0.8154097831,-0.4363030134,-0.582420172,-0.8971651602,-0.2181616833,-0.4754671196
BCC_SS,0.8560559195,-0.4402235153,0.6016447168,-0.3243324725,0.6568274486,-0.3335272828,0.2986323766,-0.8931375761,-0.4095112902,-0.5513923255,-0.8917262793,-0.1877076412,-0.4216210807
BCC_SS,0.910738587,-0.5019827523,0.4369694872,-0.08599228004,0.9152312578,-0.5138092903,0.2986323766,-0.9473662689,-0.5140478669,-0.6289619417,-0.9277918189,-0.1821705426,-0.4248524236
BCC_SS,0.697637015,-0.4335680932,0.2880756839,-0.3607121886,0.1847121935,-0.1696796514,0.3129664631,-0.5693603804,-0.2062148669,-0.5696439998,-0.8634084451,-0.3184808804,-0.5637959534
BCC_SS,0.6692234726,-0.4279573334,0.3157869738,-0.3337147411,0.2149935797,-0.2012283405,0.4180740906,-0.4412318041,0.08456858599,-0.5427734795,-0.8137134277,-0.2458471768,-0.3988091063
BCC_SS,0.5549833417,-0.3731324715,0.2979704751,-0.3811349452,0.0001986815722,-0.05146557443,0.4945470078,-0.3985634792,-0.004634489231,-0.5189213205,-0.8296543291,-0.1674264053,-0.3944599725
BCC_SS,0.6438008291,-0.4248459356,0.3405812859,-0.3168837965,0.2427218821,-0.230044255,0.4677789829,-0.326590445,0.2703198496,-0.5187314347,-0.7794311806,-0.1808591253,-0.2954092342
BCC_SS,0.5385926474,-0.3781907146,0.3196997333,-0.3588568359,0.03337518329,-0.07675643406,0.5427748523,-0.3036516069,0.163323376,-0.4996792494,-0.8019939955,-0.1160329779,-0.317762286
BCC_SS,0.6209204492,-0.4235900977,0.3628961671,-0.3068581424,0.2681896562,-0.2559812922,0.4900317493,-0.2234132205,0.4007712067,-0.4970935941,-0.7546677098,-0.1223698782,-0.2232566644
BCC_SS,0.5235969197,-0.3835307276,0.3395796961,-0.3433852666,0.06408169271,-0.1006817902,0.5673277392,-0.2168173308,0.2861184598,-0.4820747989,-0.7809976198,-0.06901345684,-0.2607870508
BCC_SS,0.5642168924,-0.4269128811,0.4181982618,-0.2999490272,0.3333972694,-0.3190022541,0.4792776766,0.03228684999,0.6226686558,-0.4434693823,-0.7123295669,0.02258173154,-0.10085633
